team_abbreviation,season_year,n_players,n_malos,vara_value
UTA,2003,17,2,-0.3170444847411066
UTA,2004,16,2,-0.38510563882162685
UTA,2005,15,2,-0.3761734915032567
UTA,2006,14,2,-0.6391468220779979
UTA,2007,14,2,-0.4823698673104384
UTA,2008,15,2,-0.45754742506873497
UTA,2009,13,2,-0.23758710418047546
UTA,2010,16,2,-0.48754356273669536
UTA,2011,15,2,-0.4534511554208224
UTA,2012,14,2,-0.306739977916323
UTA,2013,17,2,-0.7264901045474342
UTA,2014,16,2,-0.47858281828314475
UTA,2015,16,2,-0.4644551049997362
UTA,2016,15,2,-0.1977151649732871
UTA,2017,20,2,-0.5869147119607274
UTA,2018,17,2,-0.6583394875067633
UTA,2019,18,2,-0.5878182773990236
VAN,1996,15,2,-0.428375270493876
VAN,1997,13,2,-0.28042331345220517
VAN,1998,15,2,-0.5330486402993757
VAN,1999,15,2,-0.5101457774779357
VAN,2000,14,2,-0.4402447119661289
WAS,1996,14,2,-0.4753350033834823
WAS,1997,16,2,-0.76996543378794
WAS,1998,15,2,-0.5248817774432466
WAS,1999,16,2,-0.3656576532756862
WAS,2000,15,2,-0.35425391728468236
WAS,2001,14,2,-0.252948323053803
WAS,2002,16,2,-0.3264361310181103
WAS,2003,15,2,-0.38896715375486096
WAS,2004,16,2,-0.4307852757259752
WAS,2005,14,2,-0.4291113120729956
WAS,2006,16,2,-0.7335884280650893
WAS,2007,12,2,-0.3897075139826626
WAS,2008,15,2,-0.42714526096280725
WAS,2009,18,2,-0.4249712579607349
WAS,2010,17,2,-0.5076877373141525
WAS,2011,18,2,-0.6294640819862479
WAS,2012,14,2,-0.397420575017234
WAS,2013,15,2,-0.5160889577808137
WAS,2014,16,2,-0.5469770844493714
WAS,2015,17,2,-0.41609756668423
WAS,2016,17,2,-0.42531700182527443
WAS,2017,15,2,-0.3038848583321016
WAS,2018,19,2,-0.7677481036157472
WAS,2019,21,2,-0.566697090468124
