team_abbreviation,season_year,n_players,n_malos,vara_value
DET,2008,13,2,-0.463246494821764
DET,2009,14,2,-0.4935276755105192
DET,2010,13,2,-0.2927733873866773
DET,2011,14,2,-0.4939395995212562
DET,2012,14,2,-0.36106452942256584
DET,2013,15,2,-0.5031911708793363
DET,2014,15,2,-0.42723762560279155
DET,2015,15,2,-0.4787897402848439
DET,2016,15,2,-0.4903128633869891
DET,2017,18,2,-0.5416078696881772
DET,2018,17,2,-0.6959941748978262
DET,2019,19,2,-0.6678135645743345
GSW,1996,14,2,-0.3069737834998626
GSW,1997,16,2,-0.7120499078037583
GSW,1998,13,2,-0.2961857048624502
GSW,1999,18,2,-0.5335261368273237
GSW,2000,20,2,-0.8137873934036233
GSW,2001,14,2,-0.46957009395869387
GSW,2002,16,2,-0.6932286910905511
GSW,2003,17,2,-0.691592309743022
GSW,2004,13,2,-0.4269646414413095
GSW,2005,15,2,-0.5049493948463234
GSW,2006,16,2,-0.47100820913022634
GSW,2007,16,2,-0.5795389023348344
GSW,2008,16,2,-0.544885509795696
GSW,2009,17,2,-0.337148935604622
GSW,2010,14,2,-0.42099810962242
GSW,2011,17,2,-0.5907764891197708
GSW,2012,14,2,-0.3865982930854247
GSW,2013,14,2,-0.6593417108905358
GSW,2014,15,2,-0.3770679165939285
GSW,2015,15,2,-0.32361820451259793
GSW,2016,16,2,-0.4352391917918075
GSW,2017,17,2,-0.47534876839129114
GSW,2018,17,2,-0.3556991103757457
GSW,2019,16,2,-0.6008377189745916
HOU,1996,17,2,-0.4952536843542914
HOU,1997,14,2,-0.4517768568640712
HOU,1998,15,2,-0.49695560097220604
HOU,1999,16,2,-0.30039342576613093
HOU,2000,14,2,-0.5167118251640268
HOU,2001,14,2,-0.48078008937976485
HOU,2002,14,2,-0.5277761104598783
HOU,2003,15,2,-0.5076152987681514
HOU,2004,17,2,-0.6852573460210405
HOU,2005,16,2,-0.6154967561963749
HOU,2006,14,2,-0.42350083364010616
HOU,2007,17,2,-0.2006304855051233
HOU,2008,15,2,-0.3998965077164149
HOU,2009,16,2,-0.7387426893786342
HOU,2010,15,2,-0.4991780461643381
HOU,2011,15,2,-0.33771676130045813
HOU,2012,14,2,-0.4274812439470298
HOU,2013,16,2,-0.3783830107433769
HOU,2014,17,2,-0.42169649696050704
HOU,2015,15,2,-0.46859655890178564
HOU,2016,15,2,-0.7419620894117049
HOU,2017,19,2,-0.6183953311811786
HOU,2018,20,2,-0.8267959350405109
HOU,2019,20,2,-1.1107222274652584
IND,1996,15,2,-0.38294483550370606
IND,1997,14,2,-0.647889690932129
IND,1998,14,2,-0.48593894718841196
IND,1999,14,2,-0.18394084699711657
IND,2000,15,2,-0.6300106399419918
IND,2001,15,2,-0.40821648425464135
IND,2002,15,2,-0.26005566392062235
IND,2003,15,2,-0.507899754062327
IND,2004,20,2,-0.8803235044397595
IND,2005,15,2,-0.2988034270485861
IND,2006,15,2,-0.4451406044596622
IND,2007,16,2,-0.33854867969380165
IND,2008,14,2,-0.3157882273114145
IND,2009,14,2,-0.26800651639601714
IND,2010,15,2,-0.29539812712481506
IND,2011,15,2,-0.32735196054782467
IND,2012,16,2,-0.4995417234063787
IND,2013,15,2,-0.48369883609086634
IND,2014,15,2,-0.22295432482864214
IND,2015,15,2,-0.4046586435561145
IND,2016,16,2,-0.5400310829542184
IND,2017,19,2,-0.9050025462445793
IND,2018,17,2,-0.6233752429494274
IND,2019,17,2,-0.3639839883169928
LAC,1996,15,2,-0.4019372215089037
LAC,1997,14,2,-0.4777900852677474
LAC,1998,15,2,-0.3740199785883092
LAC,1999,17,2,-0.6093439566991422
LAC,2000,14,2,-0.18674559527363857
LAC,2001,16,2,-0.5476063035642453
LAC,2002,15,2,-0.32427333766649885
LAC,2003,16,2,-0.6695741163295069
LAC,2004,17,2,-0.5669289520462667
LAC,2005,16,2,-0.6217889270947526
LAC,2006,18,2,-0.9411314574399767
LAC,2007,19,2,-0.6566260177362041
LAC,2008,16,2,-0.46236509029633055
LAC,2009,16,2,-0.9439948762717842
